source_id,person_hash,timestamp,longitude,latitude,accuracy,speed,heading,source_type
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:29:00.475329+09:00,134.6907890,34.8264319,4.8,0.00,0,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:29:00.475329+09:00,134.6908106,34.8264197,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:30:00.475329+09:00,134.6907636,34.8270813,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:31:00.475329+09:00,134.6907135,34.8277557,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:32:00.475329+09:00,134.6906950,34.8284415,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:33:00.475329+09:00,134.6906249,34.8291498,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:34:00.475329+09:00,134.6905888,34.8298286,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:35:00.475329+09:00,134.6905532,34.8305567,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:36:00.475329+09:00,134.6905451,34.8311879,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:37:00.475329+09:00,134.6904672,34.8318761,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:38:00.475329+09:00,134.6904429,34.8325944,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:39:00.475329+09:00,134.6903736,34.8332958,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:40:00.475329+09:00,134.6903517,34.8339648,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:41:00.475329+09:00,134.6903404,34.8346536,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:42:00.475329+09:00,134.6902736,34.8353313,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:43:00.475329+09:00,134.6902742,34.8360132,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:44:00.475329+09:00,134.6902294,34.8367071,4.8,1.27,357,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:44:25.690557+09:00,134.6901472,34.8368720,4.8,0.10,336,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:45:25.690557+09:00,134.6904030,34.8371448,4.8,0.24,295,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:46:25.690557+09:00,134.6903184,34.8367561,4.8,0.02,34,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:47:25.690557+09:00,134.6904576,34.8371943,4.8,0.09,208,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:48:25.690557+09:00,134.6899729,34.8369251,4.8,0.10,339,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:49:25.690557+09:00,134.6903674,34.8368684,4.8,0.09,266,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:50:25.690557+09:00,134.6904083,34.8369358,4.8,0.12,100,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:51:25.690557+09:00,134.6903080,34.8367890,4.8,0.30,246,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:52:25.690557+09:00,134.6902775,34.8370766,4.8,0.20,4,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:53:25.690557+09:00,134.6901124,34.8369826,4.8,0.16,220,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:54:25.690557+09:00,134.6902160,34.8371705,4.8,0.20,266,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:55:25.690557+09:00,134.6902663,34.8371784,4.8,0.17,143,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:56:25.690557+09:00,134.6903150,34.8369538,4.8,0.30,159,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:57:25.690557+09:00,134.6903510,34.8371366,4.8,0.16,342,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:58:25.690557+09:00,134.6901725,34.8370171,4.8,0.19,344,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T09:59:25.690557+09:00,134.6900975,34.8371154,4.8,0.29,173,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:00:25.690557+09:00,134.6902302,34.8369873,4.8,0.14,249,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:01:25.690557+09:00,134.6901700,34.8371262,4.8,0.21,329,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:02:25.690557+09:00,134.6900418,34.8369827,4.8,0.25,187,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:03:25.690557+09:00,134.6901374,34.8370022,4.8,0.15,229,synthetic
