site_id,sheet,name,direction,kind,block,lat,lon,active_from,note
S01,１,表町・上之町商店街（北時計台付近）,南北,street,omotecho,34.66490,133.92945,2024-04,アーケード北端・桃太郎大通り側
S02,2,表町・中之町商店街（天満屋北付近）,南北,street,omotecho,34.66310,133.92890,2024-04,天満屋ザ・コートヤード北
S03-1,3-1,表町・紙屋町商店街（サーカスドーム北付近）,南北,street,omotecho,34.66020,133.92960,,計測準備中（2024-2025年に値なし）
S03-2,3-2,表町・紙屋町商店街（サーカスドーム西付近）,東西,street,omotecho,34.65950,133.92900,,計測準備中
S03-3,3-3,表町・紙屋町商店街（サーカスドーム南付近）,南北,street,omotecho,34.65900,133.92970,,計測準備中
S04-1,4-1,表町・千日前商店街（千日前ハレノワ通り付近）,南北,street,omotecho,34.65750,133.92910,2024-04,
S04-2,4-2,表町・千日前商店街（岡山芸術創造劇場入口付近）,入場退場,entrance,omotecho,34.65700,133.92970,2024-04,劇場入口の入退場カウント（街路ではない）
S05,5,岡山駅前商店街（ビックカメラ商店街入口付近）,東西,street,ekimae,34.66610,133.92000,2024-04,アーケード西端
S06-1,6-1,本町（髙島屋東付近）,東西,street,ekimae,34.66480,133.92020,2024-04,
S06-2,6-2,本町（髙島屋北付近）,南北,street,ekimae,34.66520,133.91970,,計測準備中
S07-1,7-1,岡山駅東口広場（中央階段付近）,上り下り,plaza,ekimae,34.66560,133.91860,2024-04,駅前広場の階段（駅出入りに近い）
S07-2,7-2,岡山駅東口広場（地下道入口付近）,入場退場,entrance,ekimae,34.66520,133.91860,,計測準備中
S08,8,奉還町商店街（りぶら付近）,東西,street,hokancho,34.66910,133.91620,2024-04,
S09,9,西奉還町商店街（奉還町３丁目付近）,東西,street,hokancho,34.66900,133.91290,2024-04,
S10,10,岡山駅地下街１（ビックカメラ入口通路付近）,入場退場,underground,chikagai,34.66550,133.91920,2024-04,地下街（地上街路に対応しない）
S11,11,岡山駅地下街２（髙島屋入口通路付近）,入場退場,underground,chikagai,34.66470,133.91920,2024-04,地下街
S12,12,岡山駅地下街３（第１セントラルビル入口通路付近）,入場退場,underground,chikagai,34.66420,133.91950,2024-04,地下街
S13,13,岡山駅地下街４（エキチカ広場付近）,南北,underground,chikagai,34.66450,133.91780,2024-04,地下街
S14,14,平和町１（ハレまち通り平和橋付近）,東西,street,heiwacho,34.66260,133.92280,2024-04,ハレまち通り（1車線化した街路）
S15,15,平和町２（西川緑道公園平和橋付近）,南北,street,heiwacho,34.66300,133.92260,2024-04,西川緑道公園筋
